County,Population,Population-growth,Population-density,Income-per-capita,White-not-hispanic-population-percentage,Percent-of-people-25-years-and-over-with-bachelors-degree-or-higher,class
"Appling, georgia",18540,1.7,36,19643,69.7,12.8,Trump
"Atkinson, georgia",8223,-1.9,24.7,15958,56.4,7.7,Trump
"Bacon, georgia",11281,1.7,42.9,18558,74.8,12.1,Trump
"Baker, georgia",3255,-5.7,10.1,17019,48.5,10.9,Trump
"Baldwin, georgia",45909,0.2,177.3,18622,53.5,19,Clinton
"Banks, georgia",18295,-0.5,79.3,20231,88.6,11.6,Trump
"Barrow, georgia",73240,5.6,432.7,21379,74,17.1,Trump
"Bartow, georgia",101736,1.6,217.9,21022,79,15.9,Trump
"Ben Hill, georgia",17464,-1,70.5,14204,56.8,9.8,Trump
"Berrien, georgia",18700,-3,42.7,16784,82.3,12.8,Trump
"Bibb, georgia",153905,-1,622.8,20982,40.8,22.5,Clinton
"Bleckley, georgia",12795,-2.1,60.5,20156,69,14.9,Trump
"Brantley, georgia",18417,0,41.6,16938,92.8,6.4,Trump
"Brooks, georgia",15418,-5.6,32.9,19409,58.1,11.4,Trump
"Bryan, georgia",33906,12.1,69.3,27556,74.4,30.6,Trump
"Bulloch, georgia",72087,2.7,104.4,18587,64.6,27.7,Trump
"Burke, georgia",22709,-2.6,28.2,16171,47,9.9,Clinton
"Butts, georgia",23368,-1.2,128.3,20363,67.6,8.4,Trump
"Calhoun, georgia",6463,-3.5,23.9,14868,33.3,11.5,Clinton
"Camden, georgia",52027,3,82.4,22701,70.5,19.5,Trump
"Candler, georgia",10888,-1,45.3,17974,63.2,14.6,Trump
