County,Population,Population-growth,Population-density,Income-per-capita,White-not-hispanic-population-percentage,Percent-of-people-25-years-and-over-with-bachelors-degree-or-higher,class
"Monroe, missouri",8707,-1.5,13.6,20331,94,13.1,Trump
"Montgomery, missouri",11841,-3.2,22.8,20991,94.9,12.1,Trump
"Morgan, missouri",20240,-1.6,34.4,17935,94.7,12.7,Trump
"New Madrid, missouri",18272,-3.6,28.1,21215,80.5,12.3,Trump
"Newton, missouri",58598,0.8,93,22341,87,18.1,Trump
"Nodaway, missouri",23081,-1.2,26.6,18079,93.1,23.4,Trump
"Oregon, missouri",10911,0.3,13.8,16331,94.6,9.8,Trump
"Osage, missouri",13703,-1.3,23,22629,98.1,15.4,Trump
"Ozark, missouri",9492,-2.4,13.1,17215,95.9,12.5,Trump
"Pemiscot, missouri",17650,-3.5,37.1,16881,69.2,10,Trump
"Perry, missouri",19202,1.2,40,23435,95.7,14.6,Trump
"Pettis, missouri",42225,0.1,61.9,19709,85.8,15.2,Trump
"Phelps, missouri",44847,-0.7,67.2,21173,89.3,27.2,Trump
"Pike, missouri",18541,0.1,27.6,18650,88.6,10.3,Trump
"Platte, missouri",94788,6.1,212.6,35143,82.9,39.2,Trump
"Polk, missouri",31054,-0.3,49,19511,94.1,18.3,Trump
"Pulaski, missouri",53436,2.2,95.5,20863,70.3,21.4,Trump
"Putnam, missouri",4829,-3,9.6,19397,97.2,13.7,Trump
"Ralls, missouri",10255,0.9,21.6,23299,95.8,13.3,Trump
"Randolph, missouri",25072,-1.3,52.7,17587,89.6,13.6,Trump
"Ray, missouri",22949,-2.3,41.3,24549,94.2,13.9,Trump
"Reynolds, missouri",6565,-1.9,8.3,18449,95.2,6.7,Trump
"Ripley, missouri",13969,-0.9,22.4,16408,95.6,10.7,Trump
"Saline, missouri",23347,-0.1,30.9,19006,81.2,17.2,Trump
"Schuyler, missouri",4370,-1.4,14.4,18160,97.7,9.8,Trump
"Scotland, missouri",4863,0.4,11.1,20363,97.9,17,Trump
"Scott, missouri",38903,-0.7,93.3,20825,84.1,14.6,Trump
"Shannon, missouri",8329,-1.3,8.4,16862,94.2,11.2,Trump
"Shelby, missouri",6108,-4.2,12.7,19331,96.6,12.7,Trump
"St. Charles, missouri",379493,5.3,643.2,31586,88.3,35.1,Trump
"St. Clair, missouri",9457,-3.5,14.6,17337,94.5,12.1,Trump
"St. Francois, missouri",65960,0.9,144.6,18544,92.3,14.3,Trump
"St. Louis, missouri",1001876,0.3,1967.2,34795,68,40.6,Clinton
"St. Louis city, missouri",317419,-0.6,5157.5,23048,43.5,29.6,Clinton
"Ste. Genevieve, missouri",17914,-1.3,36.4,22921,96.7,10.7,Trump
"Stoddard, missouri",29867,-0.3,36.4,22967,95.8,13.3,Trump
"Stone, missouri",31104,-3.4,69.4,21733,95.5,15.2,Trump
"Sullivan, missouri",6411,-4.5,10.4,19279,79.2,12,Trump
"Taney, missouri",54230,4.9,81.7,20231,90,18.6,Trump
"Texas, missouri",25642,-1.4,22.1,17868,91.5,12,Trump
"Vernon, missouri",21001,-0.7,25.6,19734,94.5,13.2,Trump
"Warren, missouri",33253,2.3,75.9,24692,92.2,16,Trump
"Washington, missouri",25077,-0.5,33.2,17703,94.6,8.4,Trump
"Wayne, missouri",13452,-0.5,17.8,18970,95.9,10.3,Trump
"Webster, missouri",36888,1.9,61.1,19955,94.9,15,Trump
"Worth, missouri",2073,-4.5,8.1,22967,96.4,15.6,Trump
"Wright, missouri",18291,-2.8,27.6,14752,95.3,11.1,Trump
"Beaverhead, montana",9345,1.1,1.7,22872,91.7,27.2,Trump
"Big Horn, montana",13282,3.2,2.6,15695,29.7,15.5,Clinton
"Blaine, montana",6619,2,1.5,17437,47.9,15.9,Trump
"Broadwater, montana",5667,0.9,4.7,24270,94,19.4,Trump
"Carbon, montana",10399,3.2,4.9,27599,94.9,27.6,Trump
"Carter, montana",1169,0.8,0.3,24921,97.7,16.4,Trump
"Cascade, montana",82344,1.3,30.1,24727,86.2,24.6,Trump
"Chouteau, montana",5894,1.4,1.5,21737,75.7,22.9,Trump
"Custer, montana",12092,3.4,3.1,23910,93.2,19.7,Trump
"Daniels, montana",1793,2.4,1.2,31449,93.6,22.9,Trump
"Dawson, montana",9518,6.2,3.8,26126,93,18.1,Trump
"Deer Lodge, montana",9150,-1.5,12.6,22052,91,18.1,Clinton
"Fallon, montana",3108,7.5,1.8,28563,95.6,16.1,Trump
"Fergus, montana",11442,-1.2,2.7,24429,94.5,25.5,Trump
"Flathead, montana",94924,4.4,17.9,25790,93.3,28.4,Trump
"Gallatin, montana",97308,8.7,34.4,28939,92.7,46,Clinton
"Garfield, montana",1309,8.3,0.3,25921,97.7,13,Trump
"Glacier, montana",13696,2.2,4.5,15604,32.4,18.4,Clinton
"Golden Valley, montana",852,-3.6,0.8,23508,91.9,20.3,Trump
"Granite, montana",3209,4.2,1.8,26277,95,26.5,Trump
"Hill, montana",16596,3.1,5.6,21376,70.6,22.6,Trump
"Jefferson, montana",11558,1.3,6.9,30397,93.3,33.5,Trump
"Judith Basin, montana",1991,-3.9,1.1,24260,96.2,29.7,Trump
"Lake, montana",29099,1.2,19.3,21521,66.3,24.8,Trump
"Lewis and Clark, montana",65856,3.9,18.3,28400,91.8,37.5,Trump
"Liberty, montana",2359,0.9,1.6,25522,97.8,20.6,Trump
"Lincoln, montana",19125,-2.9,5.4,21719,93.5,18.3,Trump
"Madison, montana",7820,1.7,2.1,33062,94.2,32.7,Trump
"McCone, montana",1694,-2.3,0.7,27161,96.1,18.6,Trump
"Meagher, montana",1853,-2,0.8,20288,95.5,17.4,Trump
"Mineral, montana",4257,0.8,3.5,19859,91.7,12.1,Trump
"Missoula, montana",112684,3.1,42.1,25764,90.1,39.1,Clinton
"Musselshell, montana",4589,1.1,2.4,23022,93.1,13.6,Trump
"Park, montana",15880,1.6,5.6,24611,94.2,33.6,Trump
"Petroleum, montana",485,-1.8,0.3,22714,97.4,15.4,Trump
"Phillips, montana",4192,-1.4,0.8,22890,85,15.9,Trump
"Pondera, montana",6219,1.1,3.8,22256,80.9,20.5,Trump
"Powder River, montana",1783,2.3,0.5,28528,94.5,19.9,Trump
"Powell, montana",6909,-1.7,3,19736,90.5,17.8,Trump
"Prairie, montana",1148,-2.6,0.7,20644,93.2,16.9,Trump
"Ravalli, montana",41030,2,16.8,22872,93.1,24.5,Trump
"Richland, montana",11576,18.8,4.7,32036,90.9,17.7,Trump
"Roosevelt, montana",11332,8.7,4.4,16888,37.2,13.7,Trump
"Rosebud, montana",9326,1,1.8,22229,58.6,22.3,Trump
"Sanders, montana",11364,-0.4,4.1,19188,90.2,16.7,Trump
"Sheridan, montana",3696,9.2,2,31378,93.6,23.4,Trump
"Silver Bow, montana",34680,1.4,47.6,23562,91.5,22.2,Clinton
"Stillwater, montana",9290,1.9,5.1,28868,93.7,22.1,Trump
"Sweet Grass, montana",3665,0.4,2,22743,95.3,27.1,Trump
"Teton, montana",6064,-0.1,2.7,22799,94.8,24.5,Trump
"Toole, montana",5150,-3.3,2.8,23162,88.5,14.6,Trump
"Treasure, montana",692,-3.6,0.7,23948,92.6,21.3,Trump
"Valley, montana",7640,3.7,1.5,25685,85.6,17.1,Trump
"Wheatland, montana",2102,-3,1.5,17336,94,19.2,Trump
"Wibaux, montana",1121,10.2,1.1,27492,94.4,19.6,Trump
"Yellowstone, montana",155634,5.2,56.2,27761,87.4,28.7,Trump
"Adams, nebraska",31457,0.3,55.7,25571,87.9,20.4,Trump
"Antelope, nebraska",6398,-4.3,7.8,25186,95.7,16.7,Trump
"Arthur, nebraska",453,-1.5,0.6,17656,93,31.7,Trump
"Banner, nebraska",764,10.7,0.9,25814,94.3,15.8,Trump
"Blaine, nebraska",504,5.4,0.7,19141,98.8,16,Trump
"Boone, nebraska",5353,-2.8,8,25590,96.8,13.8,Trump
"Box Butte, nebraska",11340,0.3,10.5,25046,83.1,17.6,Trump
"Boyd, nebraska",2033,-3.1,3.9,23157,95.7,16.1,Trump
"Brown, nebraska",2941,-6.4,2.6,21843,97,21.8,Trump
"Buffalo, nebraska",48224,4.6,47.6,24830,88.2,31.6,Trump
"Burt, nebraska",6573,-4.2,14,25203,93.8,18.3,Trump
"Butler, nebraska",8249,-1.7,14.4,27673,95.5,14.1,Trump
"Cass, nebraska",25524,1.1,45.3,29638,94.6,23.6,Trump
"Cedar, nebraska",8610,-2.7,12,25738,97.1,16.6,Trump
"Chase, nebraska",3978,0.3,4.4,28241,85.9,18.2,Trump
"Cherry, nebraska",5762,0.9,1,25213,89.4,21.3,Trump
"Cheyenne, nebraska",10148,1.5,8.4,28296,89.9,25.3,Trump
"Clay, nebraska",6315,-3.5,11.4,23876,90,17.6,Trump
"Colfax, nebraska",10504,-0.1,25.5,23751,54.2,14.4,Trump
"Cuming, nebraska",9027,-1.2,16,24496,89.4,17.5,Trump
"Custer, nebraska",10728,-2,4.2,24615,95.3,21,Trump
"Dakota, nebraska",20850,-0.7,79.5,20179,52.4,11.1,Trump
"Dawes, nebraska",9042,-1.5,6.6,21137,86.9,40.6,Trump
"Dawson, nebraska",24096,-0.9,24,20142,61.4,16,Trump
"Deuel, nebraska",1940,-0.1,4.4,27199,92.8,21.8,Trump
"Dixon, nebraska",5782,-3.6,12.6,23769,86.6,16.5,Trump
"Dodge, nebraska",36744,0.1,69.4,24588,86.2,18.7,Trump
"Douglas, nebraska",543244,5.1,1574.4,29180,71.4,36.4,Clinton
"Dundy, nebraska",1886,-6.1,2.2,28502,90.4,22.2,Trump
"Fillmore, nebraska",5661,-3.9,10.2,25460,94.5,18.2,Trump
"Franklin, nebraska",3076,-4.6,5.6,26095,96.8,17.5,Trump
"Frontier, nebraska",2705,-1.9,2.8,25262,96.6,16.5,Trump
"Furnas, nebraska",4888,-1.4,6.9,22068,95,16.8,Trump
"Gage, nebraska",21663,-2.9,26.2,24555,95.3,20,Trump
"Garden, nebraska",1911,-7.1,1.2,26715,93.1,20.8,Trump
"Garfield, nebraska",2003,-2.2,3.6,22092,97.8,13.8,Trump
"Gosper, nebraska",1970,-3.6,4.5,23266,93.3,18,Trump
"Grant, nebraska",619,0.8,0.8,19968,97.2,17.7,Trump
"Greeley, nebraska",2482,-2.2,4.5,23833,96.5,15,Trump
"Hall, nebraska",61492,4.9,107.3,23380,70,17.1,Trump
"Hamilton, nebraska",9135,0.2,16.8,26715,95.7,24.1,Trump
"Harlan, nebraska",3492,2,6.2,25322,96.7,15.3,Trump
"Hayes, nebraska",933,-3.5,1.4,23749,94.6,19.8,Trump
"Hitchcock, nebraska",2901,-0.2,4.1,23554,95.8,13.8,Trump
"Holt, nebraska",10403,-0.3,4.3,24120,94.8,19,Trump
"Hooker, nebraska",728,-1.1,1,20737,96.5,24.7,Trump
"Howard, nebraska",6362,1.4,11,26770,95.9,17.8,Trump
"Jefferson, nebraska",7335,-2.8,13.2,24777,94.5,13.5,Trump
"Johnson, nebraska",5185,-0.6,13.9,19435,81.1,12.8,Trump
"Kearney, nebraska",6644,2.4,12.6,27796,93.8,26.4,Trump
"Keith, nebraska",8121,-3,7.9,25097,91.5,20.4,Trump
"Keya Paha, nebraska",810,-1.7,1.1,25251,98.9,17.2,Trump
"Kimball, nebraska",3713,-2.8,4,24565,88.2,16.4,Trump
"Knox, nebraska",8482,-2.5,7.9,25214,86.8,17,Trump
"Lancaster, nebraska",301795,5.7,340.8,27141,83.4,36.1,Clinton
"Lincoln, nebraska",35815,-1.3,14.2,26188,89,19.4,Trump
"Logan, nebraska",750,-1.7,1.3,22799,95.3,19.9,Trump
"Loup, nebraska",588,-6.4,1.1,21499,96.5,12.6,Trump
"Madison, nebraska",35174,0.9,60.9,24593,81.7,20.8,Trump
"McPherson, nebraska",498,-7.6,0.6,25339,97.7,26.3,Trump
"Merrick, nebraska",7766,-1.1,16.2,24639,93,17,Trump
"Morrill, nebraska",4862,-3.6,3.5,22543,83,18.3,Trump
"Nance, nebraska",3570,-4.4,8.5,23684,96.1,13.2,Trump
"Nemaha, nebraska",7175,-1,17.8,25269,94.5,24.9,Trump
"Nuckolls, nebraska",4369,-2.9,7.8,22448,96,13.7,Trump
"Otoe, nebraska",15797,0.4,25.6,25855,90.8,23.2,Trump
"Pawnee, nebraska",2702,-2.6,6.4,25426,95.6,11.6,Trump
"Perkins, nebraska",2891,-2.7,3.4,27931,95.4,22.3,Trump
"Phelps, nebraska",9187,0,17,26856,93.1,21.7,Trump
"Pierce, nebraska",7202,-0.9,12.7,24830,97,18.8,Trump
"Platte, nebraska",32666,1.3,47.8,24219,82.2,18.5,Trump
"Polk, nebraska",5271,-2.5,12.3,27639,95,20.3,Trump
"Red Willow, nebraska",10867,-1.7,15.4,23320,92.3,19.5,Trump
"Richardson, nebraska",8128,-2.8,15.2,23566,92.6,18.8,Trump
"Rock, nebraska",1443,-5.6,1.5,24501,97.2,19.1,Trump
"Saline, nebraska",14252,0.4,24.7,20407,73.2,15.1,Trump
"Sarpy, nebraska",172193,8.4,664.6,30189,82.8,36.2,Trump
"Saunders, nebraska",20919,0.7,27.7,30039,95.8,24.4,Trump
"Scotts Bluff, nebraska",36465,-1.4,50,23220,73.9,20,Trump
"Seward, nebraska",17150,2.4,29.3,28359,95.6,26.1,Trump
"Sheridan, nebraska",5259,-3.8,2.2,22551,83.7,22.6,Trump
"Sherman, nebraska",3074,-2.5,5.6,24837,97,17.7,Trump
"Sioux, nebraska",1303,-0.6,0.6,31517,93.1,27,Trump
"Stanton, nebraska",6069,-1,14.3,23131,91.7,17.7,Trump
"Thayer, nebraska",5230,0,9.1,26965,96.1,16.3,Trump
"Thomas, nebraska",687,6.2,0.9,30116,95.6,22.7,Trump
"Thurston, nebraska",6969,0.4,17.6,17106,39,15.8,Trump
"Valley, nebraska",4204,-1.3,7.5,23227,96.2,17.8,Trump
"Washington, nebraska",20258,0.1,51.9,29328,95.2,28.9,Trump
"Wayne, nebraska",9431,-1.7,21.7,24448,90.6,33.1,Trump
"Webster, nebraska",3658,-4,6.6,21423,92.5,17.2,Trump
"Wheeler, nebraska",766,-6.4,1.4,25898,97.9,17.5,Trump
"York, nebraska",13917,1.8,23.9,28207,92.2,24.9,Trump
"Carson City, nevada",54522,-1.4,382.1,26264,69.1,20.1,Trump
"Churchill, nevada",23989,-3.6,5,24716,74.6,16.8,Trump
"Clark, nevada",2069681,6.1,247.3,26217,46.1,22.1,Clinton
"Douglas, nevada",47536,1.1,66.2,34123,81.6,25.7,Trump
"Elko, nevada",52766,7.8,2.8,28358,67.8,16.4,Trump
"Esmeralda, nevada",822,4.8,0.2,20862,72.1,13.9,Trump
"Eureka, nevada",2018,1.6,0.5,28056,81.2,24.7,Trump
"Humboldt, nevada",17279,4.6,1.7,26515,67.3,12.6,Trump
"Lander, nevada",6009,4.1,1.1,29800,70.3,12,Trump
"Lincoln, nevada",5184,-3,0.5,22879,85.4,16.3,Trump
"Lyon, nevada",51789,-0.4,26,21757,76.6,16.7,Trump
"Mineral, nevada",4500,-5.7,1.3,23146,65.9,11,Trump
"Nye, nevada",42282,-3.8,2.4,21838,77.7,12.3,Trump
"Pershing, nevada",6698,-0.8,1.1,18203,67.4,10.5,Trump
"Storey, nevada",3912,-2.4,15.3,33472,84.7,21.5,Trump
"Washoe, nevada",440078,4.4,66.9,28670,64.7,27.3,Clinton
"White Pine, nevada",10034,0,1.1,24435,73.9,13.8,Trump
"Belknap, new-hampshire",60305,0.4,150.1,30518,95.1,28,Trump
"Carroll, new-hampshire",47399,-0.9,51.4,31558,96,31.2,Trump
"Cheshire, new-hampshire",76115,-1.3,109.1,27874,94.8,30.4,Clinton
"Coos, new-hampshire",31653,-4.2,18.4,24367,95.6,17.3,Trump
"Grafton, new-hampshire",89658,0.6,52.2,30738,91.5,37.7,Clinton
"Hillsborough, new-hampshire",405184,1.1,457.4,34390,86.7,35,Trump
"Merrimack, new-hampshire",147171,0.5,156.8,31310,93.7,33.3,Clinton
"Rockingham, new-hampshire",300621,1.8,425,38399,93.5,37.2,Trump
"Strafford, new-hampshire",125604,2,333.7,29369,92.1,31.8,Clinton
"Sullivan, new-hampshire",43103,-1.5,81.4,28582,95.7,25.6,Trump
"Atlantic, new-jersey",275209,0.2,494.1,27391,57.2,24.2,Clinton
"Bergen, new-jersey",933572,3.1,3884.5,43347,59.7,45.9,Clinton
"Burlington, new-jersey",449722,0.2,561.9,36835,69.4,34.6,Clinton
"Camden, new-jersey",511038,-0.5,2321.5,30592,58.8,29.1,Clinton
"Cape May, new-jersey",95344,-2,386.9,32948,86,28.7,Trump
"Cumberland, new-jersey",157389,0.3,324.4,22524,48.6,14.3,Clinton
"Essex, new-jersey",795723,1.5,6211.5,32181,32.7,32,Clinton
"Gloucester, new-jersey",290951,0.9,895.3,32600,80,28.4,Trump
"Hudson, new-jersey",669115,5.5,13731.4,32641,29.8,36.3,Clinton
"Hunterdon, new-jersey",126067,-1,300,50349,86.9,47.6,Trump
"Mercer, new-jersey",371537,1.1,1632.2,37465,52.6,38.8,Clinton
"Middlesex, new-jersey",836297,3.3,2621.6,34345,46.4,40.1,Clinton
"Monmouth, new-jersey",629279,-0.2,1344.7,42749,76.1,41.4,Trump
"Morris, new-jersey",499727,1.5,1069.8,48814,73.3,50,Trump
"Ocean, new-jersey",586301,1.7,917,30477,85.2,25.4,Trump
"Passaic, new-jersey",508856,1.4,2715.3,27152,43.7,25.6,Clinton
"Salem, new-jersey",64715,-2.1,199.1,28772,75.8,20.4,Trump
"Somerset, new-jersey",332568,2.8,1071.7,47803,59.8,51.1,Clinton
"Sussex, new-jersey",144909,-2.7,287.6,37949,87.9,32.4,Trump
"Union, new-jersey",552939,3.1,5216.1,35089,43.2,31.8,Clinton
"Warren, new-jersey",106917,-1.6,304.5,33555,84.1,29.6,Trump
"Bernalillo, new-mexico",675551,2,570.8,26814,40.6,32.1,Clinton
"Catron, new-mexico",3556,-4.5,0.5,20616,75.2,18.5,Trump
"Chaves, new-mexico",65878,0.4,10.8,19492,41.6,18.4,Trump
"Cibola, new-mexico",27349,0.5,6,16129,21.1,10.4,Clinton
"Colfax, new-mexico",12680,-7.8,3.7,21387,48.2,19.8,Trump
"Curry, new-mexico",50969,5.4,34.4,21259,50.5,20.4,Trump
"De Baca, new-mexico",1825,-9.7,0.9,24879,56.7,17.9,Trump
"Eddy, new-mexico",56395,4.8,12.9,28438,50.3,16.7,Trump
"Grant, new-mexico",29096,-1.4,7.4,22755,47.4,24.2,Clinton
"Guadalupe, new-mexico",4468,-4.7,1.5,14198,16.3,11.3,Clinton
"Harding, new-mexico",683,-1.7,0.3,25686,54.8,21.4,Trump
"Hidalgo, new-mexico",4560,-6.8,1.4,18392,40.8,14.1,Trump
"Lea, new-mexico",69999,8.1,14.7,22484,39.9,13.3,Trump
"Lincoln, new-mexico",19706,-3.9,4.2,25449,64.2,23.6,Trump
"Los Alamos, new-mexico",17682,-1.5,164.4,51044,74.4,63.4,Clinton
"Luna, new-mexico",24673,-1.7,8.5,16114,33.2,13.8,Trump
"McKinley, new-mexico",74098,3.6,13.1,12679,10,11.2,Clinton
"Mora, new-mexico",4592,-5.9,2.5,20543,17.9,9.5,Clinton
"Otero, new-mexico",65082,2,9.6,19880,51.6,16.6,Trump
"Quay, new-mexico",8501,-6,3.1,17936,51.6,13.2,Trump
"Rio Arriba, new-mexico",39777,-1.2,6.9,20014,13.2,16.4,Clinton
"Roosevelt, new-mexico",19536,-1.6,8.1,17477,54.5,21.1,Trump
"San Juan, new-mexico",123785,-4.8,23.6,21260,40.7,15.2,Trump
"San Miguel, new-mexico",28239,-3.9,6.2,17926,19.4,19.6,Clinton
"Sandoval, new-mexico",137608,4.6,35.5,26924,45.8,28.3,Clinton
"Santa Fe, new-mexico",148164,2.8,75.5,32298,43.5,39.7,Clinton
"Sierra, new-mexico",11325,-5.5,2.9,17752,66.6,21.1,Trump
"Socorro, new-mexico",17310,-3.1,2.7,18104,36.3,19.4,Clinton
"Taos, new-mexico",33084,0.4,15,21333,36.2,29.5,Clinton
"Torrance, new-mexico",15611,-4.7,4.9,18675,54,14.7,Trump
"Union, new-mexico",4297,-5.6,1.2,18472,54.6,17,Trump
"Valencia, new-mexico",75817,-1,71.8,19623,34.8,16.6,Trump
"Albany, new-york",308171,1.3,581.9,32328,74.5,38.8,Clinton
"Allegany, new-york",47736,-2.5,47.6,20978,95,18.9,Trump
"Bronx, new-york",1438159,3.8,32903.6,18171,10.5,18.1,Clinton
"Broome, new-york",197349,-1.6,284.2,24835,85.2,26.1,Trump
"Cattaraugus, new-york",78600,-2.1,61.4,22049,91.2,17.2,Trump
"Cayuga, new-york",78823,-1.5,115.7,24702,90.9,19.6,Trump
"Chautauqua, new-york",132053,-2.1,127.2,22168,88.4,20.7,Trump
"Chemung, new-york",87770,-1.2,218.1,25329,86.8,21.5,Trump
"Chenango, new-york",49426,-2.1,56.5,22097,95,17.1,Trump
"Clinton, new-york",81632,-0.6,79.1,24676,90.7,22.1,Clinton
"Columbia, new-york",62122,-1.5,99.4,33613,87.4,28.2,Clinton
"Cortland, new-york",49024,-0.6,98.9,23179,93,23.5,Trump
"Delaware, new-york",46581,-2.9,33.3,23677,92.6,19.8,Trump
"Dutchess, new-york",296579,-0.3,373.9,33594,73.3,32.9,Trump
"Erie, new-york",922835,0.4,881.4,27978,76.9,30.9,Clinton
"Essex, new-york",38679,-1.8,21.9,26582,92.5,23.3,Trump
"Franklin, new-york",51262,-0.6,31.7,21575,81.6,16.5,Trump
"Fulton, new-york",54105,-2.6,112.1,23839,93.4,14.9,Trump
"Genesee, new-york",59162,-1.5,121.9,25403,91,20.8,Trump
"Greene, new-york",47967,-2.5,76.1,25700,86.5,20.1,Trump
"Hamilton, new-york",4715,-2.5,2.8,28265,95.9,24.2,Trump
"Herkimer, new-york",63744,-1.2,45.7,23418,95.1,20.5,Trump
"Jefferson, new-york",119103,2.5,91.6,23078,82.7,20,Trump
"Kings, new-york",2621793,4.7,35369.1,25289,36,30.6,Clinton
"Lewis, new-york",27220,0.5,21.3,22942,96,13.6,Trump
"Livingston, new-york",64586,-1,103.5,23978,91.4,24.4,Trump
"Madison, new-york",72369,-1.5,112.2,25230,93.6,25.9,Trump
"Monroe, new-york",749857,0.7,1132.6,28732,72,35.8,Clinton
"Montgomery, new-york",49779,-0.9,124.6,23417,83.6,16,Trump
"Nassau, new-york",1358627,1.4,4704.8,42400,63.3,41.5,Clinton
"New York, new-york",1636268,3.2,69467.5,62498,47.5,58.9,Clinton
"Niagara, new-york",213525,-1.4,414.4,25991,86.7,22.2,Trump
"Oneida, new-york",232871,-0.9,193.7,25103,83.6,22.4,Trump
"Onondaga, new-york",468196,0.2,600,28746,78.4,33.1,Clinton
"Ontario, new-york",109707,1.5,167.6,29904,90.9,31.7,Trump
"Orange, new-york",376099,0.9,459.3,30583,66.6,28.7,Trump
"Orleans, new-york",41984,-2.1,109.6,22255,86.9,16.4,Trump
"Oswego, new-york",120913,-1,128.3,23126,94.6,17.2,Trump
"Otsego, new-york",61128,-1.8,62.2,24165,91.9,26.8,Trump
"Putnam, new-york",99487,-0.3,432.9,40309,81.5,38.4,Trump
"Queens, new-york",2321580,4.1,20553.6,26495,26.7,30,Clinton
"Rensselaer, new-york",159774,0.2,244.4,29987,84.8,28.6,Trump
"Richmond, new-york",473279,1,8030.3,31823,63.2,29.7,Trump
"Rockland, new-york",323866,3.9,1795.9,34591,63.9,40.4,Clinton
"Saratoga, new-york",224921,2.4,271.1,35176,91.7,37.1,Trump
"Schenectady, new-york",155735,0.7,756.6,28319,76.1,29,Clinton
"Schoharie, new-york",31566,-3.6,52.7,26584,93.7,19.3,Trump
"Schuyler, new-york",18479,0.7,55.9,24173,95.3,16.9,Trump
"Seneca, new-york",34884,-1,108.9,23115,89.5,19.2,Trump
"St. Lawrence, new-york",111400,-0.5,41.8,22198,92.4,20.4,Trump
"Steuben, new-york",98394,-0.6,71.2,25371,94,20.8,Trump
"Suffolk, new-york",1502968,0.6,1637.4,36945,70.1,32.9,Trump
"Sullivan, new-york",75943,-2.1,80.1,24963,73.7,20.9,Trump
"Tioga, new-york",49870,-2.5,98.6,27230,95.6,24.1,Trump
"Tompkins, new-york",104691,3,214,27418,78.7,49.3,Clinton
"Ulster, new-york",180445,-1.1,162.3,30442,80.6,29.9,Clinton
"Warren, new-york",64973,-1.1,75.8,30351,94.5,28,Trump
"Washington, new-york",62372,-1.3,76.1,24168,92.9,18.3,Trump
"Wayne, new-york",92051,-1.8,155.3,25327,90.6,20.9,Trump
"Westchester, new-york",972634,2.5,2204.7,47984,55.7,45.4,Clinton
"Wyoming, new-york",41188,-2.3,71.1,22700,89.8,14.6,Trump
"Yates, new-york",25208,-0.6,75,24457,95.6,23.2,Trump
"Alamance, north-carolina",155792,3,356.5,23166,66.2,21.7,Trump
"Alexander, north-carolina",37392,0.5,143.1,20440,87.6,11.7,Trump
"Alleghany, north-carolina",10879,-2.5,47.5,19510,87.1,18.3,Trump
"Anson, north-carolina",25765,-4.4,50.7,16752,45.5,10.2,Clinton
"Ashe, north-carolina",27126,-0.6,64,20838,92.7,19.5,Trump
"Avery, north-carolina",17773,-0.1,72,21598,89.4,20.4,Trump
"Beaufort, north-carolina",47585,-0.4,57.7,21636,65.9,18.3,Trump
"Bertie, north-carolina",20106,-5.6,30.4,17096,35.1,10.6,Clinton
"Bladen, north-carolina",34657,-1.5,40.2,19154,54.7,10.5,Trump
"Brunswick, north-carolina",118836,10.6,126.8,26839,81.3,25.1,Trump
"Buncombe, north-carolina",250539,5.1,362.9,26159,84,33.8,Clinton
"Burke, north-carolina",89486,-1.6,179.3,19701,82.3,16.6,Trump
"Cabarrus, north-carolina",192103,7.8,492.1,25247,70,25.1,Trump
"Caldwell, north-carolina",81484,-1.9,176.1,19228,88.2,12.5,Trump
"Camden, north-carolina",10331,3.5,41.5,25620,80.1,18.8,Trump
"Carteret, north-carolina",68811,3.5,131.3,27496,86.5,23.9,Trump
"Caswell, north-carolina",23082,-2.7,55.8,17975,61.5,9,Trump
"Catawba, north-carolina",154534,0.1,387.1,23232,77.2,21,Trump
"Chatham, north-carolina",68698,8.2,93.1,31175,71.4,36.4,Clinton
"Cherokee, north-carolina",27141,-1.1,60.3,18340,91.6,16.7,Trump
"Chowan, north-carolina",14572,-1.5,85.8,19240,60.7,20.1,Trump
"Clay, north-carolina",10581,-0.1,49.3,22081,94.1,20.6,Trump
"Cleveland, north-carolina",97076,-1,211.3,20062,73.9,16.3,Trump
"Columbus, north-carolina",56953,-2,62,19275,60.5,12.2,Trump
"Craven, north-carolina",104510,1,146,24260,66.7,21,Trump
"Cumberland, north-carolina",326328,2.2,489.7,23067,45.8,22.7,Clinton
"Currituck, north-carolina",24976,6.1,89.9,25854,87.9,18.4,Trump
"Dare, north-carolina",35104,3.5,88.5,30529,88,30.6,Trump
"Davidson, north-carolina",164072,0.7,294.7,22549,81.4,17.6,Trump
"Davie, north-carolina",41434,0.5,156.2,26319,85.1,24.9,Trump
"Duplin, north-carolina",59882,2.4,71.7,17122,52.3,10.4,Trump
"Durham, north-carolina",294460,9.1,935.7,29347,42.1,45.1,Clinton
"Edgecombe, north-carolina",54933,-2.9,111.9,16971,37.3,10.5,Clinton
"Forsyth, north-carolina",365298,4.2,859.2,26541,58,31.9,Clinton
"Franklin, north-carolina",62860,3.7,123.3,21399,63.6,17.1,Trump
"Gaston, north-carolina",211127,2.4,578.8,22658,75,18,Trump
"Gates, north-carolina",11567,-5.1,35.8,21187,62.6,11.6,Trump
"Graham, north-carolina",8644,-2.4,30.3,19780,88.3,14.4,Trump
"Granville, north-carolina",58500,1.7,112.7,22295,58.7,16.4,Trump
"Greene, north-carolina",21093,-1.3,80.3,18441,47.8,11.6,Trump
